id,criterion,type,weight,measurement_method,scale_0,scale_5,lsp_score,lsp_basis,scip_score,scip_basis,status
G1,Zero egress achievable (build + run + first-use),gate,,Static analysis + verify-airgap.sh pcap while the feature is active,Any network call beyond loopback,Zero egress with feature on,PASS,OPENCODE_DISABLE_LSP_DOWNLOAD=1 + servers staged on PATH (ripgrep pattern),PASS,Indexers run offline; the .scip index is a local file,measured
G2,Preserves single static binary / no CGO in the aegis binary,gate,,Build inspection: CGO_ENABLED=0 still builds; feature adds no cgo import to aegis,Adds CGO to the aegis binary,No CGO in aegis; external processes only,PASS,LSP servers are separate processes,PASS,Indexers are separate processes; .scip parsed via pure-Go protobuf,measured
G3,Offline + no-ML (consistent with the INDEX-003 grep-first doctrine),gate,,Confirm no embeddings / hosted model at any stage,Uses embeddings or a hosted model,Deterministic; no ML,PASS,LSP = deterministic language servers,PASS,SCIP = deterministic compiler index,measured
G4,Out-of-the-box: statically-linked + no downloads + compiled-in for the mission set,gate,,Can every mission language's server/indexer ship as a static bundled binary (no runtime + no download)?,Needs a runtime or a download,All mission langs served by static bundled binaries,PARTIAL,static for compiled langs (go rust c/c++); py js/ts c# need a Node/.NET runtime; no ruby server,PARTIAL,static for compiled langs + ruby (scip-ruby); py js/ts c# need a runtime,measured
C1,Polyglot coverage of the mission languages (= rtmx set: go py rust js/ts c# c/c++ ruby),weighted,20,count(covered langs) / 7 mapped 0-5,No mission language covered,All 7 mission languages covered,4,covers 6/7 — all but Ruby (opencode has no Ruby server),4,covers ~6.5/7 — all incl. Ruby (scip-ruby) but C# indexer immature,measured
C2,Navigation precision & completeness (def / refs),weighted,15,Correct def+refs on a 30-symbol labeled sample per language; precision*recall mapped 0-5,Below 60%,At or above 95%,TBD,Live language server (authoritative),TBD,Compiler-grade static index,to_measure
C3,Resource fit on the small CPU host (steady state),weighted,15,Peak RSS + CPU% while the feature is active during a drive; lower is better; mapped 0-5,Resident cost rivals inference,Negligible query-time cost,2,Servers resident; contend with inference on the memory bus (CLAUDE.md resource model),4,Index once then cheap static queries; cost is amortized off the hot path,partial
C4,Freshness / staleness handling,weighted,10,Staleness window after an edit before navigation is correct again,Stale until a manual re-index,Always live,5,LSP tracks edits live,3,Re-index needed; INDEX-004 hash-diff triggers it but a window exists,partial
C5,Integration effort in aegis,weighted,10,Net-new components to build + verify; lower is better; mapped 0-5,Large net-new subsystem,Config-only,4,Enable lsp:true + stage servers + set env; mostly in-harness,2,Build the loader + MCP tools + indexer orchestration (net-new),partial
C6,Distribution / bundle cost (size + per-platform),weighted,10,MB added across target platforms,Hundreds of MB per platform,A few MB,TBD,Per-language server binaries (clangd ~100MB gopls ~30MB),TBD,Per-language indexer binaries (similar order),to_measure
C7,Maintenance / version-matching burden,weighted,10,Count of independently-versioned binaries to track,Many fast-moving,One stable,TBD,One server per language,TBD,One indexer per language,to_measure
C8,Auditability / determinism of the artifact,weighted,5,Is the navigation source a static inspectable artifact?,Opaque / dynamic,Static inspectable file,3,LSP responses are dynamic,5,SCIP is a static inspectable index file,partial
C9,Measured payoff on the golden set (MTC / TCR),weighted,5,Delta MTC and delta TCR vs a grep-only baseline via the E2E harness,No improvement,Large MTC/TCR drop,TBD,Measure when the E2E harness runs,TBD,Measure when the E2E harness runs,to_measure
